"id","date","scheme_name","scheme_type","scheme_category","no_of_schemes","no_of_folios","fund_mobilized","repurchase_redemption","net_inflow_outflow","net_aum","avg_net_aum","no_of_segregated_portfolios","net_aum_in_segregated_portfolios"
128,"01-04-2021","Equity Savings Fund","Open ended Schemes","Hybrid Schemes",23.0,289439.0,225.21,237.44,-12.23,9771.39,10058.4,2.0,25.8129
129,"01-04-2021","Retirement Fund","Open ended Schemes","Solution Oriented Schemes",25.0,2629585.0,156.37,122.96,33.41,13686.19,13568.5,0.0,0.0
130,"01-04-2021","Childrens Fund","Open ended Schemes","Solution Oriented Schemes",10.0,2882643.0,61.87,37.22,24.65,10903.3,10800.52,0.0,0.0
131,"01-04-2021","Index Funds","Open ended Schemes","Other Schemes",46.0,1092882.0,1969.61,802.06,1167.55,20426.01,19714.39,0.0,0.0
132,"01-04-2021","GOLD ETF","Open ended Schemes","Other Schemes",11.0,1513531.0,686.08,5.93,680.15,15628.66,15192.17,0.0,0.0
133,"01-04-2021","Other ETFs","Open ended Schemes","Other Schemes",93.0,4508088.0,7102.99,4566.3,2536.7,277570.85,274939.03,0.0,0.0
134,"01-04-2021","Fund of funds investing overseas","Open ended Schemes","Other Schemes",35.0,729914.0,867.89,172.55,695.34,13989.15,13440.85,0.0,0.0
135,"01-04-2021","Fixed Term Plan","Close Ended Schemes","Income/Debt Oriented Schemes",519.0,346196.0,93.97,22496.79,-22402.82,99124.19,112540.13,0.0,0.0
136,"01-04-2021","Capital Protection Oriented Schemes","Close Ended Schemes","Income/Debt Oriented Schemes",18.0,37904.0,0.0,740.84,-740.84,1857.57,2095.87,0.0,0.0
137,"01-04-2021","Infrastructure Debt Fund","Close Ended Schemes","Income/Debt Oriented Schemes",8.0,80.0,0.0,319.0,-319.0,1944.23,1930.0,0.0,0.0
138,"01-04-2021","Other Debt Scheme","Close Ended Schemes","Income/Debt Oriented Schemes",5.0,16022.0,0.0,96.28,-96.28,637.06,697.72,0.0,0.0
139,"01-04-2021","ELSS","Close Ended Schemes","Growth/Equity Oriented Schemes",25.0,424514.0,0.0,154.59,-154.59,4571.41,4589.15,0.0,0.0
140,"01-04-2021","Other Equity Schemes","Close Ended Schemes","Growth/Equity Oriented Schemes",47.0,577727.0,0.0,1499.66,-1499.65,15750.94,16025.04,0.0,0.0
141,"01-04-2021","Other Schemes","Close Ended Schemes","Other Schemes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,"01-04-2021","Income/Debt Oriented Schemes","Interval Schemes","Income/Debt Oriented Schemes",21.0,3396.0,0.01,0.34,-0.33,150.59,150.56,0.0,0.0
143,"01-04-2021","Growth/Equity Oriented Schemes","Interval Schemes","Growth/Equity Oriented Schemes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
